"Vote Type (FOR=1,AGAINST=2)","County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", LEGS 45,LEGS 26,LEGS 27C,LEGS 37B,LEGS 04,LEGS 47A,LEGS 02A,LEGS 08,LEGS 47B,LEGS 30A,LEGS 34A,LEGS 28,LEGS 44A,LEGS 07,LEGS 03B,LEGS 13,LEGS 17,LEGS 29B,LEGS 21,LEGS 31A,LEGS 34B,LEGS 44B,LEGS 12,LEGS 18,LEGS 11,LEGS 38B,LEGS 22,LEGS 31B,LEGS 33,LEGS 16,LEGS 20,LEGS 19,LEGS 23A,LEGS 32,LEGS 43,LEGS 25,LEGS 10,LEGS 36,LEGS 03A,LEGS 09B,LEGS 09A,LEGS 39,LEGS 05,LEGS 29A,LEGS 42A,LEGS 30B,LEGS 46,LEGS 27B,LEGS 29C,LEGS 35A,LEGS 14,LEGS 15,LEGS 01B,LEGS 40,LEGS 41,LEGS 35B,LEGS 24,LEGS 37A,LEGS 01A,LEGS 01C,LEGS 42B,LEGS 38C,LEGS 06,LEGS 02B,LEGS 27A,LEGS 23B,LEGS 38A
1,00,"Darrell L. Castle",OTH,President - Vice Pres,,,Y,1,2,7,5,28,5,14,9,0,4,10,17,0,8,11,5,6,5,7,4,6,6,12,4,2,1,4,8,26,2,3,5,5,11,0,0,7,9,4,1,9,5,16,12,2,0,4,1,12,2,9,7,2,4,1,18,1,0,2,9,4,2,2,4,2,6,6
1,00,"Roque Rocky De La Fuente",OTH,President - Vice Pres,,,Y,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Richard Baxter Edgell",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,00,"James Hedges",OTH,President - Vice Pres,,,Y,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,00,"Tom Hoefling",OTH,President - Vice Pres,,,Y,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,5,0,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
1,00,"Lynn Kahn",OTH,President - Vice Pres,,,Y,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,00,"Mohammed Keita",OTH,President - Vice Pres,,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Gloria La Riva ",OTH,President - Vice Pres,,,Y,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,1,1,4,1,2,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,00,"Ken Lash",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"David Librace",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Star Locke",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1,00,"Michael A. Maturen",OTH,President - Vice Pres,,,Y,1,0,0,1,14,10,11,5,1,6,2,0,0,4,1,20,9,5,14,2,2,10,11,17,6,0,28,3,8,9,6,9,6,9,3,2,4,3,2,0,7,7,7,5,4,0,0,4,4,1,14,4,0,1,4,2,1,1,1,1,3,0,0,6,0,6,0
1,00,"Evan McMullin",OTH,President - Vice Pres,,,Y,31,21,51,77,286,48,116,93,6,132,69,109,6,148,98,242,126,66,168,24,65,83,164,152,128,46,110,122,376,171,84,157,39,179,48,15,71,112,149,68,191,194,227,45,69,68,105,40,66,43,160,179,21,36,56,113,27,20,38,30,158,23,32,33,25,96,36
1,00,"Kevin  M. Moreau",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Michael S Olkowski",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Marshall Schoenke",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,00,"Joe Schriner",OTH,President - Vice Pres,,,Y,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,00,"Coop Smith",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,00,"Michael L. Mike Smith",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,00,"Sistah Soldjah",OTH,President - Vice Pres,,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Emidio Soltysik",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"J. J. Vogel-Walcutt",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Jerry White",OTH,President - Vice Pres,,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,00,"Mitchell Williams",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Demetra Jefferson Wysinger",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Shelia Bolar",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,00,"Dana E. Brown",UNF,President - Vice Pres,,,Y,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Robert Buchanan",UNF,President - Vice Pres,,,Y,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
1,00,"Martin Carlisle",UNF,President - Vice Pres,,,Y,0,0,0,0,3,0,0,0,0,0,1,1,0,1,0,5,0,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,00,"Richard Duncan",UNF,President - Vice Pres,,,Y,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,00,"Ameer Flippin",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Cherunda Fox",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,00,"Ben Hartnell",UNF,President - Vice Pres,,,Y,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
1,00,"Gerald Jennings, II",UNF,President - Vice Pres,,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,00,"Laurence Kotlikoff",UNF,President - Vice Pres,,,Y,1,0,0,1,2,0,1,0,0,3,1,0,0,0,1,3,0,0,4,0,0,0,2,1,2,0,0,0,6,0,0,0,0,0,1,0,0,1,1,0,3,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,00,"Joseph A. Maldanado",UNF,President - Vice Pres,,,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,00,"Michael B. Puskar",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Maurice Symonette",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,00,"Kora Roberta Katz Vakil",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Anthony Tony J. Valdivia",UNF,President - Vice Pres,,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
1,00,"Other Write-Ins",BOT,President - Vice Pres,,,Y,235,232,157,276,664,161,343,378,29,486,216,381,66,472,227,724,511,150,401,108,237,255,546,751,617,125,305,317,906,1067,379,601,130,459,329,227,340,357,375,228,582,419,635,128,198,194,384,133,190,94,717,687,88,247,323,331,239,67,82,94,503,129,258,125,123,285,108
1,00,"Kathy Szeliga",REP,U.S. Senator           ,,,,3268,1941,8257,17530,32227,1226,20121,17394,400,10397,9989,14859,515,31164,7890,13196,7584,5838,8108,5113,9234,4663,13267,6285,13531,6090,3053,20963,26838,9582,3321,8846,2018,14648,3048,1247,7141,23735,9560,4914,20537,7638,34761,8998,4317,7999,8522,6201,8610,8240,12421,11585,8274,3021,3398,22879,1448,3088,10176,8653,18775,10315,17948,4285,3183,3833,7099
1,00,"Chris Van Hollen",DEM,U.S. Senator           ,,Y,,22668,23890,5482,8458,17129,14848,10007,17364,4357,11709,10636,24231,7375,12654,6844,23468,20605,4984,19996,5465,4255,14158,17226,23510,19268,4446,23528,9473,18378,26635,21109,21910,6798,19289,23361,23856,19997,11528,12995,5732,11882,20578,12705,4097,6412,4611,19668,6848,4770,4174,21398,21081,4083,22102,20534,7340,26202,6017,2438,3580,11460,4127,13487,4948,8870,15472,5121
1,00,"Margaret Flowers",GRN,U.S. Senator           ,,,,1309,876,608,690,1725,684,1191,1254,214,774,860,1331,339,1195,619,1591,1004,591,1311,452,496,834,1284,967,1012,413,1301,953,1448,781,1030,934,342,1358,1943,871,1040,1114,1221,407,928,1126,1347,484,497,433,1273,468,689,522,1084,1013,550,1478,995,889,965,331,439,508,1043,482,1097,601,419,707,299
1,00,"Jeffrey Binkins",DEM,U.S. Senator           ,,,Y,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,00,"Bob Robinson",DEM,U.S. Senator           ,,,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
1,00,"Charles U. Smith",DEM,U.S. Senator           ,,,Y,6,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1,00,"Lih Young",DEM,U.S. Senator           ,,,Y,1,0,2,0,2,0,1,0,0,1,1,2,1,0,0,1,1,0,1,0,0,0,2,0,0,0,3,2,0,2,0,0,0,0,2,0,1,0,2,0,0,2,0,0,0,0,4,0,0,1,1,1,1,3,3,3,0,0,1,0,0,0,0,0,0,0,0
1,00,"Greg Dorsey",UNF,U.S. Senator           ,,,Y,1,0,1,2,6,0,5,5,0,0,1,6,0,3,2,3,2,0,8,2,1,6,5,5,2,0,3,2,7,2,3,4,0,3,3,0,3,8,5,0,0,4,10,3,0,0,4,2,1,3,3,3,2,4,1,3,4,0,2,1,3,1,1,1,2,2,0
1,00,"Ed Tinus",UNF,U.S. Senator           ,,,Y,6,3,1,1,4,0,3,0,0,0,2,4,1,5,1,5,0,1,0,1,3,0,3,1,3,1,0,0,1,0,1,0,0,1,2,1,0,2,1,1,4,0,1,0,1,0,4,0,3,0,0,2,1,1,0,3,0,0,2,0,1,10,0,0,0,2,2
1,00,"Other Write-Ins",BOT,U.S. Senator           ,,,Y,61,54,33,20,47,31,27,39,15,21,24,49,21,36,12,55,35,21,52,10,12,28,47,48,26,11,44,27,44,34,38,31,20,52,64,42,42,24,38,18,31,47,31,13,10,8,37,14,15,18,46,28,14,42,50,21,64,16,11,14,35,14,43,19,20,23,15
1,00,"Andy Harris",REP,Rep in Congress,01,Y,,,,,19278,,,,4333,,,332,,,19739,,,,,,,8369,,,,,6695,,,,,,,,,,,,25405,,,,,19404,,,,,,,8746,,,,,,23578,,3687,,,4068,11001,,,,,7819
1,00,"Joe Werner",DEM,Rep in Congress,01,,,,,,6500,,,,1728,,,199,,,5116,,,,,,,2922,,,,,3744,,,,,,,,,,,,9076,,,,,4370,,,,,,,3403,,,,,,5705,,5391,,,1490,3299,,,,,4410
1,00,"Matt Beers",LIB,Rep in Congress,01,,,,,,946,,,,314,,,38,,,1246,,,,,,,649,,,,,536,,,,,,,,,,,,1797,,,,,1378,,,,,,,769,,,,,,1567,,361,,,309,652,,,,,361
1,00,"Other Write-Ins",BOT,Rep in Congress,01,,Y,,,,38,,,,13,,,0,,,39,,,,,,,15,,,,,24,,,,,,,,,,,,53,,,,,32,,,,,,,18,,,,,,34,,17,,,4,21,,,,,11
1,00,"Pat McDonough",REP,Rep in Congress,02,,,949,,,,,,,5446,,,8671,,,7797,,3073,,,,2203,1048,,1477,,3581,,,,,,,,,4778,,,3877,,,,,,,,2849,,1288,,,,,,,,,,,,,,7265,,16414,,,,
1,00,"C. A. Dutch Ruppersberger",DEM,Rep in Congress,02,Y,,8237,,,,,,,9813,,,10873,,,5558,,5910,,,,3186,756,,1693,,7903,,,,,,,,,8837,,,13900,,,,,,,,5366,,5240,,,,,,,,,,,,,,7482,,14463,,,,
1,00,"Kristin S. Kasprzak",LIB,Rep in Congress,02,,,366,,,,,,,823,,,1249,,,633,,658,,,,332,139,,210,,538,,,,,,,,,833,,,841,,,,,,,,445,,358,,,,,,,,,,,,,,749,,1698,,,,
1,00,"Other Write-Ins",BOT,Rep in Congress,02,,Y,67,,,,,,,28,,,33,,,18,,25,,,,5,6,,7,,21,,,,,,,,,25,,,48,,,,,,,,14,,32,,,,,,,,,,,,,,18,,43,,,,
1,00,"Mark Plaster",REP,Rep in Congress,03,,,1198,,,,,,,6309,,7156,,,,,,9134,,,2187,2485,,,4025,,6119,,,8122,4103,,784,528,,8063,1372,,,,,,523,,,,1060,,6474,,,,7344,,,1537,2592,,,,,,503,,,,,,
1,00,"John Sarbanes",DEM,Rep in Congress,03,Y,,3932,,,,,,,6487,,9433,,,,,,15784,,,2604,2587,,,4088,,10586,,,4208,3321,,3991,817,,9701,5483,,,,,,452,,,,1382,,11761,,,,14154,,,4008,6873,,,,,,410,,,,,,
1,00,"Nnabu Eze",GRN,Rep in Congress,03,,,271,,,,,,,390,,399,,,,,,802,,,137,145,,,272,,377,,,289,180,,181,30,,545,291,,,,,,18,,,,63,,639,,,,542,,,364,302,,,,,,14,,,,,,
