County,Eligible,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
Percent,,0.85,0.45,0.22,0.03,0.01,0.01,0.00,0.00,0.00,0.27
,,,,,,,,,,,
Nevada,78736.00,68517.00,24677.00,22252.00,2450.00,778.00,892.00,182.00,15.00,9426.00,7845.00
Percent,,0.87,0.36,0.32,0.04,0.01,0.01,0.00,0.00,0.14,0.11
,,,,,,,,,,,
Orange,2032569.00,1591543.00,529651.00,541711.00,40231.00,4823.00,14039.00,4095.00,421.00,3229.00,453343.00
Percent,,0.78,0.33,0.34,0.03,0.00,0.01,0.00,0.00,0.00,0.28
,,,,,,,,,,,
Placer,277942.00,238052.00,66540.00,97801.00,7304.00,890.00,3872.00,459.00,717.00,973.00,59496.00
Percent,,0.86,0.28,0.41,0.03,0.00,0.02,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Plumas,15921.00,12376.00,3432.00,5194.00,611.00,51.00,151.00,32.00,1.00,4.00,2900.00
Percent,,0.78,0.28,0.42,0.05,0.00,0.01,0.00,0.00,0.00,0.23
,,,,,,,,,,,
Riverside,1487776.00,1060375.00,390315.00,340503.00,32805.00,2887.00,8221.00,3857.00,4287.00,4643.00,272857.00
Percent,,0.71,0.37,0.32,0.03,0.00,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
Sacramento,1016166.00,780667.00,328290.00,196804.00,23880.00,3512.00,7573.00,4413.00,2893.00,1736.00,211566.00
Percent,,0.77,0.42,0.25,0.03,0.00,0.01,0.01,0.00,0.00,0.27
,,,,,,,,,,,
San Benito,34291.00,31022.00,13834.00,7874.00,828.00,109.00,247.00,103.00,13.00,37.00,7977.00
Percent,,0.90,0.45,0.25,0.03,0.00,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
San Bernardino,1334000.00,963616.00,373846.00,278145.00,32950.00,3055.00,7583.00,4390.00,4090.00,4779.00,254778.00
Percent,,0.72,0.39,0.29,0.03,0.00,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
San Diego,2229766.00,1747383.00,623925.00,475149.00,55800.00,6887.00,16355.00,5255.00,6888.00,4586.00,552538.00
Percent,,0.78,0.36,0.27,0.03,0.00,0.01,0.00,0.00,0.00,0.32
,,,,,,,,,,,
San Francisco,662489.00,493455.00,280182.00,31823.00,7878.00,3849.00,2920.00,1340.00,2327.00,917.00,162219.00
Percent,,0.74,0.57,0.06,0.02,0.01,0.01,0.00,0.00,0.00,0.33
,,,,,,,,,,,
