"Vote Type (FOR=1,AGAINST=2)","County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", LEGS 45,LEGS 26,LEGS 27C,LEGS 37B,LEGS 04,LEGS 47A,LEGS 08,LEGS 02A,LEGS 47B,LEGS 30A,LEGS 34A,LEGS 28,LEGS 44A,LEGS 07,LEGS 03B,LEGS 13,LEGS 17,LEGS 29B,LEGS 21,LEGS 31A,LEGS 34B,LEGS 44B,LEGS 12,LEGS 18,LEGS 11,LEGS 38B,LEGS 22,LEGS 31B,LEGS 33,LEGS 16,LEGS 20,LEGS 19,LEGS 23A,LEGS 32,LEGS 43,LEGS 25,LEGS 10,LEGS 36,LEGS 03A,LEGS 09B,LEGS 09A,LEGS 39,LEGS 29A,LEGS 05,LEGS 42A,LEGS 30B,LEGS 46,LEGS 27B,LEGS 35A,LEGS 14,LEGS 15,LEGS 01B,LEGS 29C,LEGS 40,LEGS 41,LEGS 35B,LEGS 24,LEGS 37A,LEGS 01A,LEGS 01C,LEGS 06,LEGS 42B,LEGS 38C,LEGS 02B,LEGS 27A,LEGS 23B,LEGS 38A
1,00,"Other Write-Ins",BOT,Attorney General       ,,,Y,134,13,3,12,24,5,28,7,2,9,22,22,36,31,5,28,20,6,18,8,8,26,35,26,41,3,17,17,18,20,21,16,17,15,108,11,32,15,13,14,26,13,5,27,10,3,51,8,8,19,24,10,3,124,179,15,25,5,7,8,27,21,7,6,5,20,8
1,00,"Bill Tilghman",DEM,Rep in Congress,01,,,,,,7477,,,1584,,,,145,,,4854,,,,,,,2649,,,,,3067,,,,,,,,,,,,9666,,,,,,3635,,,,,2646,,,,,,,5486,,3519,,,,1344,3725,,,,3676
1,00,"Andy Harris",REP,Rep in Congress,01,Y,,,,,15837,,,4355,,,,292,,,19101,,,,,,,7850,,,,,4808,,,,,,,,,,,,21197,,,,,,17377,,,,,6280,,,,,,,20273,,2435,,,,3936,8275,,,,5966
1,00,"Other Write-Ins",BOT,Rep in Congress,01,,Y,,,,17,,,7,,,,0,,,30,,,,,,,18,,,,,8,,,,,,,,,,,,21,,,,,,22,,,,,5,,,,,,,31,,5,,,,4,5,,,,9
1,00,"C. A. Dutch Ruppersberger",DEM,Rep in Congress,02,Y,,6507,,,,,,8110,,,,9191,,,5498,,4366,,,,2279,638,,1225,,6769,,,,,,,,,6093,,,12514,,,,,,,,4723,,3100,,,,,,,,,,,,,,11866,6875,,,,,
1,00,"David Banach",REP,Rep in Congress,02,,,798,,,,,,4734,,,,6984,,,5959,,2536,,,,1566,836,,1160,,3037,,,,,,,,,3669,,,3484,,,,,,,,2579,,762,,,,,,,,,,,,,,11605,6674,,,,,
1,00,"Ian Schlakman",GRN,Rep in Congress,02,,,206,,,,,,356,,,,477,,,260,,268,,,,113,60,,84,,265,,,,,,,,,278,,,405,,,,,,,,347,,102,,,,,,,,,,,,,,680,433,,,,,
1,00,"Other Write-Ins",BOT,Rep in Congress,02,,Y,12,,,,,,8,,,,12,,,9,,13,,,,2,0,,5,,12,,,,,,,,,4,,,19,,,,,,,,9,,4,,,,,,,,,,,,,,26,14,,,,,
1,00,"John Sarbanes",DEM,Rep in Congress,03,Y,,2964,,,,,,5318,,,8018,,,,,,13590,,,1758,1751,,,3458,,10529,,,3126,2564,,3000,547,,6407,4680,,,,,,336,,,,1241,,7731,,,11598,,,,2718,6646,,,,,,,376,,,,,
1,00,"Charles A. Long",REP,Rep in Congress,03,,,1016,,,,,,6245,,,6275,,,,,,8740,,,1661,1795,,,3836,,5564,,,6366,3627,,697,456,,6322,1326,,,,,,497,,,,1026,,4367,,,6983,,,,1153,2194,,,,,,,461,,,,,
1,00,"Other Write-Ins",BOT,Rep in Congress,03,,Y,8,,,,,,15,,,16,,,,,,23,,,4,8,,,21,,20,,,5,8,,6,2,,21,10,,,,,,2,,,,3,,28,,,32,,,,14,18,,,,,,,1,,,,,
1,00,"Donna F. Edwards",DEM,Rep in Congress,04,Y,,,13122,,,,9878,,,2585,1600,,,,,,,,,8231,,,,,,,,5006,3384,8903,,,,1512,654,,17977,,,,,,,,,,252,,,,,,,,,,,19883,,,,,,,,,4275,
1,00,"Nancy Hoyt",REP,Rep in Congress,04,,,,969,,,,844,,,318,2645,,,,,,,,,3691,,,,,,,,417,10055,17886,,,,488,885,,764,,,,,,,,,,624,,,,,,,,,,,816,,,,,,,,,278,
1,00,"Arvin Vohra",LIB,Rep in Congress,04,,,,132,,,,112,,,31,89,,,,,,,,,236,,,,,,,,76,361,723,,,,36,58,,131,,,,,,,,,,15,,,,,,,,,,,173,,,,,,,,,31,
