County,Eligible,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
Percent,,0.85,0.46,0.22,0.03,0.01,0.01,0.00,0.00,0.00,0.27
,,,,,,,,,,,
Nevada,78603.00,68954.00,24938.00,22758.00,2443.00,792.00,866.00,192.00,7.00,10349.00,6609.00
Percent,,0.88,0.36,0.33,0.04,0.01,0.01,0.00,0.00,0.15,0.10
,,,,,,,,,,,
Orange,2028366.00,1560111.00,523624.00,541665.00,39268.00,4816.00,13634.00,3913.00,202.00,3314.00,429675.00
Percent,,0.77,0.34,0.35,0.03,0.00,0.01,0.00,0.00,0.00,0.28
,,,,,,,,,,,
Placer,276613.00,234732.00,66303.00,97895.00,7038.00,909.00,3803.00,446.00,570.00,951.00,56817.00
Percent,,0.85,0.28,0.42,0.03,0.00,0.02,0.00,0.00,0.00,0.24
,,,,,,,,,,,
Plumas,15930.00,12480.00,3512.00,5280.00,599.00,54.00,142.00,35.00,0.00,4.00,2854.00
Percent,,0.78,0.28,0.42,0.05,0.00,0.01,0.00,0.00,0.00,0.23
,,,,,,,,,,,
Riverside,1481361.00,1035957.00,385153.00,340917.00,31880.00,2840.00,7900.00,3615.00,3435.00,4828.00,255389.00
Percent,,0.70,0.37,0.33,0.03,0.00,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Sacramento,1013368.00,765965.00,325031.00,197510.00,23141.00,3527.00,7218.00,4371.00,1921.00,1618.00,201628.00
Percent,,0.76,0.42,0.26,0.03,0.00,0.01,0.01,0.00,0.00,0.26
,,,,,,,,,,,
San Benito,34253.00,30064.00,13647.00,7787.00,801.00,111.00,231.00,95.00,3.00,40.00,7349.00
Percent,,0.88,0.45,0.26,0.03,0.00,0.01,0.00,0.00,0.00,0.24
,,,,,,,,,,,
San Bernardino,1330247.00,937316.00,365411.00,275884.00,31372.00,2989.00,7114.00,4230.00,3157.00,4625.00,242534.00
Percent,,0.70,0.39,0.29,0.03,0.00,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
San Diego,2224081.00,1741707.00,626707.00,482400.00,56167.00,6999.00,16305.00,5204.00,6618.00,4661.00,536646.00
Percent,,0.78,0.36,0.28,0.03,0.00,0.01,0.00,0.00,0.00,0.31
,,,,,,,,,,,
